timestamp,district,season,hour,temperature_c,humidity_percent,rainfall_mm,solar_irradiance_wm2,wind_speed_ms,pressure_hpa,soil_moisture_percent,crop_stage,irrigation_demand_level,electricity_consumption_kwh,water_consumption_m3,gas_consumption_m3,renewable_energy_kwh,weather_condition,heat_index_c,smart_irrigation_action,outdoor_advice,farmer_field_advice,electricity_cost_tk,water_cost_tk,gas_cost_tk,hourly_cost_tk,currency_symbol
2026-04-11 13:00:00,Rajshahi,Pre-Monsoon,13,35.8,72,7,392,6,1003.1,44,Seedling,2,4.9,1.11,1.03,8,Light Rain,41.56,Water OFF,Go Outside With Caution,Routine Check Optional,41.65,2.78,3.3,47.73,৳
2026-04-11 14:00:00,Rajshahi,Pre-Monsoon,14,35.63,75,9,263,6,1001.3,48,Seedling,1,4.57,0.83,1.05,6,Heavy Rain,41.63,Water OFF,Do Not Go Outside,Delay Field Visit,38.84,2.07,3.36,44.27,৳
2026-04-11 15:00:00,Rajshahi,Pre-Monsoon,15,35.13,61,0,537,5,1009.4,32,Seedling,4,5.4,1.67,1.06,11,Sunny,40.01,Water ON,Safe to Go Outside,Go to Field for Irrigation,45.9,4.18,3.39,53.47,৳
2026-04-11 16:00:00,Rajshahi,Pre-Monsoon,16,34.34,62,0,380,5,1009.4,33,Seedling,4,4.06,1.67,1.05,8,Clear,39.3,Water ON,Safe to Go Outside,Go to Field for Irrigation,34.51,4.18,3.36,42.05,৳
2026-04-11 17:00:00,Rajshahi,Pre-Monsoon,17,33.3,63,0,197,5,1009.4,34,Seedling,4,3.64,1.67,1.03,4,Clear,38.34,Water ON,Safe to Go Outside,Go to Field for Irrigation,30.94,4.18,3.3,38.42,৳
2026-04-11 18:00:00,Rajshahi,Pre-Monsoon,18,32.09,64,0,0,4,1009.4,36,Seedling,4,3.16,1.67,0.99,1,Clear,37.21,Water ON,Safe to Go Outside,Go to Field for Irrigation,26.86,4.18,3.17,34.21,৳
2026-04-11 19:00:00,Rajshahi,Pre-Monsoon,19,30.8,64,0,0,4,1009.4,36,Seedling,4,3.01,1.67,0.94,1,Clear,35.92,Water ON,Safe to Go Outside,Go to Field for Irrigation,25.58,4.18,3.01,32.77,৳
2026-04-11 20:00:00,Rajshahi,Pre-Monsoon,20,29.51,65,0,0,3,1009.4,36,Seedling,4,2.86,1.67,0.88,0,Clear,34.71,Water ON,Safe to Go Outside,Go to Field for Irrigation,24.31,4.18,2.82,31.31,৳
2026-04-11 21:00:00,Rajshahi,Pre-Monsoon,21,28.3,66,0,0,3,1009.4,36,Seedling,4,3.01,1.67,0.82,0,Clear,33.58,Water ON,Safe to Go Outside,Go to Field for Irrigation,25.58,4.18,2.62,32.38,৳
2026-04-11 22:00:00,Rajshahi,Pre-Monsoon,22,27.26,67,0,0,3,1009.4,36,Seedling,4,3.16,1.67,0.88,0,Clear,32.62,Water ON,Safe to Go Outside,Go to Field for Irrigation,26.86,4.18,2.82,33.86,৳
2026-04-11 23:00:00,Rajshahi,Pre-Monsoon,23,26.47,67,0,0,4,1009.4,36,Seedling,4,3.28,1.67,0.94,1,Clear,31.83,Water ON,Safe to Go Outside,Go to Field for Irrigation,27.88,4.18,3.01,35.07,৳
2026-04-12 00:00:00,Khulna,Pre-Monsoon,0,26.97,67,0,0,4,1009.51,36,Seedling,4,3.38,1.67,0.99,1,Clear,32.33,Water ON,Safe to Go Outside,Go to Field for Irrigation,28.73,4.18,3.17,36.08,৳
2026-04-12 01:00:00,Khulna,Pre-Monsoon,1,26.8,67,0,0,5,1009.51,36,Seedling,4,3.44,1.67,1.03,1,Clear,32.16,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.24,4.18,3.3,36.72,৳
2026-04-12 02:00:00,Khulna,Pre-Monsoon,2,26.97,67,0,0,5,1009.51,36,Seedling,4,3.46,1.67,1.05,1,Clear,32.33,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.41,4.18,3.36,36.95,৳
2026-04-12 03:00:00,Khulna,Pre-Monsoon,3,27.47,67,0,0,5,1009.51,36,Seedling,4,3.44,1.67,1.06,1,Clear,32.83,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.24,4.18,3.39,36.81,৳
2026-04-12 04:00:00,Khulna,Pre-Monsoon,4,28.26,66,0,0,5,1009.51,36,Seedling,4,3.38,1.67,1.05,1,Clear,33.54,Water ON,Safe to Go Outside,Go to Field for Irrigation,28.73,4.18,3.36,36.27,৳
2026-04-12 05:00:00,Khulna,Pre-Monsoon,5,29.3,65,0,0,5,1009.51,36,Seedling,4,3.28,1.67,1.03,1,Clear,34.5,Water ON,Safe to Go Outside,Go to Field for Irrigation,27.88,4.18,3.3,35.36,৳
2026-04-12 06:00:00,Khulna,Pre-Monsoon,6,30.51,79,9,0,6,1001.41,52,Seedling,0,2.68,0.55,0.99,1,Heavy Rain,36.83,Water OFF,Do Not Go Outside,Delay Field Visit,22.78,1.38,3.17,27.33,৳
2026-04-12 07:00:00,Khulna,Pre-Monsoon,7,31.8,75,7,105,5,1003.21,49,Seedling,1,2.84,0.83,0.94,3,Light Rain,37.8,Water OFF,Go Outside With Caution,Routine Check Optional,24.14,2.07,3.01,29.22,৳
2026-04-12 08:00:00,Khulna,Pre-Monsoon,8,33.09,71,5,253,4,1005.01,44,Seedling,2,3.07,1.11,0.88,5,Light Rain,38.77,Water OFF,Go Outside With Caution,Routine Check Optional,26.1,2.78,2.82,31.7,৳
2026-04-12 09:00:00,Khulna,Pre-Monsoon,9,34.3,67,3,430,3,1006.81,38,Seedling,3,3.67,1.39,0.82,9,Light Rain,39.66,Water OFF,Go Outside With Caution,Routine Check Optional,31.2,3.47,2.62,37.29,৳
2026-04-12 10:00:00,Khulna,Pre-Monsoon,10,35.33,61,0,658,3,1009.51,32,Seedling,5,5.46,1.95,0.88,13,Sunny,40.21,Water ON,Safe to Go Outside,Go to Field for Irrigation,46.41,4.88,2.82,54.11,৳
2026-04-12 11:00:00,Khulna,Pre-Monsoon,11,36.13,61,0,734,4,1009.51,31,Seedling,5,5.72,1.95,0.94,15,Sunny,41.01,Water ON,Go Outside With Caution,Go to Field for Irrigation,48.62,4.88,3.01,56.51,৳
2026-04-12 12:00:00,Khulna,Pre-Monsoon,12,36.63,60,0,760,4,1009.51,30,Seedling,5,5.87,1.95,0.99,15,Sunny,41.43,Water ON,Go Outside With Caution,Go to Field for Irrigation,49.9,4.88,3.17,57.95,৳
2026-04-12 13:00:00,Khulna,Pre-Monsoon,13,36.8,60,0,734,5,1009.51,30,Seedling,5,5.88,1.95,1.03,15,Sunny,41.6,Water ON,Go Outside With Caution,Go to Field for Irrigation,49.98,4.88,3.3,58.16,৳
2026-04-12 14:00:00,Khulna,Pre-Monsoon,14,36.63,60,0,658,5,1009.51,30,Seedling,5,5.76,1.95,1.05,13,Sunny,41.43,Water ON,Go Outside With Caution,Go to Field for Irrigation,48.96,4.88,3.36,57.2,৳
2026-04-12 15:00:00,Khulna,Pre-Monsoon,15,36.13,61,0,537,5,1009.51,31,Seedling,5,5.52,1.95,1.06,11,Sunny,41.01,Water ON,Go Outside With Caution,Go to Field for Irrigation,46.92,4.88,3.39,55.19,৳
2026-04-12 16:00:00,Khulna,Pre-Monsoon,16,35.33,61,0,380,5,1009.51,32,Seedling,5,5.18,1.95,1.05,8,Clear,40.21,Water ON,Safe to Go Outside,Go to Field for Irrigation,44.03,4.88,3.36,52.27,৳
2026-04-12 17:00:00,Khulna,Pre-Monsoon,17,34.3,62,0,197,5,1009.51,33,Seedling,4,3.64,1.67,1.03,4,Clear,39.26,Water ON,Safe to Go Outside,Go to Field for Irrigation,30.94,4.18,3.3,38.42,৳
2026-04-12 18:00:00,Khulna,Pre-Monsoon,18,33.09,63,0,0,4,1009.51,35,Seedling,4,3.16,1.67,0.99,1,Clear,38.13,Water ON,Safe to Go Outside,Go to Field for Irrigation,26.86,4.18,3.17,34.21,৳
2026-04-12 19:00:00,Khulna,Pre-Monsoon,19,31.8,64,0,0,4,1009.51,36,Seedling,4,3.01,1.67,0.94,1,Clear,36.92,Water ON,Safe to Go Outside,Go to Field for Irrigation,25.58,4.18,3.01,32.77,৳
2026-04-12 20:00:00,Khulna,Pre-Monsoon,20,30.51,65,0,0,3,1009.51,36,Seedling,4,2.86,1.67,0.88,0,Clear,35.71,Water ON,Safe to Go Outside,Go to Field for Irrigation,24.31,4.18,2.82,31.31,৳
2026-04-12 21:00:00,Khulna,Pre-Monsoon,21,29.3,65,0,0,3,1009.51,36,Seedling,4,3.01,1.67,0.82,0,Clear,34.5,Water ON,Safe to Go Outside,Go to Field for Irrigation,25.58,4.18,2.62,32.38,৳
2026-04-12 22:00:00,Khulna,Pre-Monsoon,22,28.26,66,0,0,3,1009.51,36,Seedling,4,3.16,1.67,0.88,0,Clear,33.54,Water ON,Safe to Go Outside,Go to Field for Irrigation,26.86,4.18,2.82,33.86,৳
2026-04-12 23:00:00,Khulna,Pre-Monsoon,23,27.47,67,0,0,4,1009.51,36,Seedling,4,3.28,1.67,0.94,1,Clear,32.83,Water ON,Safe to Go Outside,Go to Field for Irrigation,27.88,4.18,3.01,35.07,৳
2026-04-13 00:00:00,Barisal,Pre-Monsoon,0,27.59,67,0,0,4,1009.72,36,Seedling,4,3.48,1.67,0.99,1,Clear,32.95,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.58,4.18,3.17,36.93,৳
2026-04-13 01:00:00,Barisal,Pre-Monsoon,1,27.42,78,7,0,6,1003.42,49,Seedling,1,3.18,0.83,1.03,1,Light Rain,33.66,Water OFF,Go Outside With Caution,Routine Check Optional,27.03,2.07,3.3,32.4,৳
2026-04-13 02:00:00,Barisal,Pre-Monsoon,2,27.59,81,9,0,6,1001.62,52,Seedling,0,3.08,0.55,1.05,1,Heavy Rain,34.07,Water OFF,Do Not Go Outside,Delay Field Visit,26.18,1.38,3.36,30.92,৳
2026-04-13 03:00:00,Barisal,Pre-Monsoon,3,28.09,82,10,0,7,1000.72,54,Seedling,0,3.06,0.55,1.06,1,Heavy Rain,34.65,Water OFF,Do Not Go Outside,Delay Field Visit,26.01,1.38,3.39,30.78,৳
2026-04-13 04:00:00,Barisal,Pre-Monsoon,4,28.88,82,10,0,7,1000.72,54,Seedling,0,3.0,0.55,1.05,1,Heavy Rain,35.44,Water OFF,Do Not Go Outside,Delay Field Visit,25.5,1.38,3.36,30.24,৳
2026-04-13 05:00:00,Barisal,Pre-Monsoon,5,29.92,65,0,0,5,1009.72,36,Seedling,4,3.38,1.67,1.03,1,Clear,35.12,Water ON,Safe to Go Outside,Go to Field for Irrigation,28.73,4.18,3.3,36.21,৳
2026-04-13 06:00:00,Barisal,Pre-Monsoon,6,31.12,64,0,0,4,1009.72,36,Seedling,4,3.26,1.67,0.99,1,Clear,36.24,Water ON,Safe to Go Outside,Go to Field for Irrigation,27.71,4.18,3.17,35.06,৳
2026-04-13 07:00:00,Barisal,Pre-Monsoon,7,32.42,63,0,197,4,1009.72,35,Seedling,4,3.47,1.67,0.94,4,Clear,37.46,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.5,4.18,3.01,36.69,৳
2026-04-13 08:00:00,Barisal,Pre-Monsoon,8,33.71,62,0,380,3,1009.72,34,Seedling,4,3.64,1.67,0.88,8,Clear,38.67,Water ON,Safe to Go Outside,Go to Field for Irrigation,30.94,4.18,2.82,37.94,৳
2026-04-13 09:00:00,Barisal,Pre-Monsoon,9,34.92,62,0,537,3,1009.72,32,Seedling,4,5.08,1.67,0.82,11,Sunny,39.88,Water ON,Safe to Go Outside,Go to Field for Irrigation,43.18,4.18,2.62,49.98,৳
2026-04-13 10:00:00,Barisal,Pre-Monsoon,10,35.95,61,0,658,3,1009.72,31,Seedling,5,5.56,1.95,0.88,13,Sunny,40.83,Water ON,Safe to Go Outside,Go to Field for Irrigation,47.26,4.88,2.82,54.96,৳
2026-04-13 11:00:00,Barisal,Pre-Monsoon,11,36.75,60,0,734,4,1009.72,30,Seedling,5,5.82,1.95,0.94,15,Sunny,41.55,Water ON,Go Outside With Caution,Go to Field for Irrigation,49.47,4.88,3.01,57.36,৳
2026-04-13 12:00:00,Barisal,Pre-Monsoon,12,37.25,60,0,760,4,1009.72,30,Seedling,5,5.96,1.95,0.99,15,Sunny,42.05,Water ON,Go Outside With Caution,Go to Field for Irrigation,50.66,4.88,3.17,58.71,৳
2026-04-13 13:00:00,Barisal,Pre-Monsoon,13,37.42,60,0,734,5,1009.72,29,Seedling,5,5.98,1.95,1.03,15,Sunny,42.22,Water ON,Go Outside With Caution,Go to Field for Irrigation,50.83,4.88,3.3,59.01,৳
2026-04-13 14:00:00,Barisal,Pre-Monsoon,14,37.25,60,0,658,5,1009.72,30,Seedling,5,5.86,1.95,1.05,13,Sunny,42.05,Water ON,Go Outside With Caution,Go to Field for Irrigation,49.81,4.88,3.36,58.05,৳
2026-04-13 15:00:00,Barisal,Pre-Monsoon,15,36.75,60,0,537,5,1009.72,30,Seedling,5,5.62,1.95,1.06,11,Sunny,41.55,Water ON,Go Outside With Caution,Go to Field for Irrigation,47.77,4.88,3.39,56.04,৳
2026-04-13 16:00:00,Barisal,Pre-Monsoon,16,35.95,61,0,380,5,1009.72,31,Seedling,5,5.28,1.95,1.05,8,Clear,40.83,Water ON,Safe to Go Outside,Go to Field for Irrigation,44.88,4.88,3.36,53.12,৳
2026-04-13 17:00:00,Barisal,Pre-Monsoon,17,34.92,62,0,197,5,1009.72,32,Seedling,4,4.73,1.67,1.03,4,Clear,39.88,Water ON,Safe to Go Outside,Go to Field for Irrigation,40.21,4.18,3.3,47.69,৳
2026-04-13 18:00:00,Barisal,Pre-Monsoon,18,33.71,62,0,0,4,1009.72,34,Seedling,4,3.26,1.67,0.99,1,Clear,38.67,Water ON,Safe to Go Outside,Go to Field for Irrigation,27.71,4.18,3.17,35.06,৳
2026-04-13 19:00:00,Barisal,Pre-Monsoon,19,32.42,63,0,0,4,1009.72,35,Seedling,4,3.11,1.67,0.94,1,Clear,37.46,Water ON,Safe to Go Outside,Go to Field for Irrigation,26.44,4.18,3.01,33.63,৳
2026-04-13 20:00:00,Barisal,Pre-Monsoon,20,31.12,64,0,0,3,1009.72,36,Seedling,4,2.96,1.67,0.88,0,Clear,36.24,Water ON,Safe to Go Outside,Go to Field for Irrigation,25.16,4.18,2.82,32.16,৳
2026-04-13 21:00:00,Barisal,Pre-Monsoon,21,29.92,65,0,0,3,1009.72,36,Seedling,4,3.11,1.67,0.82,0,Clear,35.12,Water ON,Safe to Go Outside,Go to Field for Irrigation,26.44,4.18,2.62,33.24,৳
2026-04-13 22:00:00,Barisal,Pre-Monsoon,22,28.88,66,0,0,3,1009.72,36,Seedling,4,3.26,1.67,0.88,0,Clear,34.16,Water ON,Safe to Go Outside,Go to Field for Irrigation,27.71,4.18,2.82,34.71,৳
2026-04-13 23:00:00,Barisal,Pre-Monsoon,23,28.09,71,3,0,4,1007.02,41,Seedling,2,3.14,1.11,0.94,1,Light Rain,33.77,Water OFF,Go Outside With Caution,Routine Check Optional,26.69,2.78,3.01,32.48,৳
2026-04-14 00:00:00,Chattogram,Pre-Monsoon,0,27.59,67,0,0,4,1010.0,36,Seedling,4,3.44,1.67,0.99,1,Clear,32.95,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.24,4.18,3.17,36.59,৳
2026-04-14 01:00:00,Chattogram,Pre-Monsoon,1,27.42,67,0,0,5,1010.0,36,Seedling,4,3.5,1.67,1.03,1,Clear,32.78,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.75,4.18,3.3,37.23,৳
2026-04-14 02:00:00,Chattogram,Pre-Monsoon,2,27.59,67,0,0,5,1010.0,36,Seedling,4,3.52,1.67,1.05,1,Clear,32.95,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.92,4.18,3.36,37.46,৳
2026-04-14 03:00:00,Chattogram,Pre-Monsoon,3,28.09,66,0,0,5,1010.0,36,Seedling,4,3.5,1.67,1.06,1,Clear,33.37,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.75,4.18,3.39,37.32,৳
2026-04-14 04:00:00,Chattogram,Pre-Monsoon,4,28.88,66,0,0,5,1010.0,36,Seedling,4,3.44,1.67,1.05,1,Clear,34.16,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.24,4.18,3.36,36.78,৳
2026-04-14 05:00:00,Chattogram,Pre-Monsoon,5,29.92,65,0,0,5,1010.0,36,Seedling,4,3.34,1.67,1.03,1,Clear,35.12,Water ON,Safe to Go Outside,Go to Field for Irrigation,28.39,4.18,3.3,35.87,৳
2026-04-14 06:00:00,Chattogram,Pre-Monsoon,6,31.12,64,0,0,4,1010.0,36,Seedling,4,3.22,1.67,0.99,1,Clear,36.24,Water ON,Safe to Go Outside,Go to Field for Irrigation,27.37,4.18,3.17,34.72,৳
2026-04-14 07:00:00,Chattogram,Pre-Monsoon,7,32.42,63,0,197,4,1010.0,35,Seedling,4,3.43,1.67,0.94,4,Clear,37.46,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.16,4.18,3.01,36.35,৳
2026-04-14 08:00:00,Chattogram,Pre-Monsoon,8,33.71,62,0,380,3,1010.0,34,Seedling,4,3.6,1.67,0.88,8,Clear,38.67,Water ON,Safe to Go Outside,Go to Field for Irrigation,30.6,4.18,2.82,37.6,৳
2026-04-14 09:00:00,Chattogram,Pre-Monsoon,9,34.92,62,0,537,3,1010.0,32,Seedling,4,5.04,1.67,0.82,11,Sunny,39.88,Water ON,Safe to Go Outside,Go to Field for Irrigation,42.84,4.18,2.62,49.64,৳
2026-04-14 10:00:00,Chattogram,Pre-Monsoon,10,35.95,61,0,658,3,1010.0,31,Seedling,5,5.53,1.95,0.88,13,Sunny,40.83,Water ON,Safe to Go Outside,Go to Field for Irrigation,47.0,4.88,2.82,54.7,৳
2026-04-14 11:00:00,Chattogram,Pre-Monsoon,11,36.75,60,0,734,4,1010.0,30,Seedling,5,5.79,1.95,0.94,15,Sunny,41.55,Water ON,Go Outside With Caution,Go to Field for Irrigation,49.22,4.88,3.01,57.11,৳
2026-04-14 12:00:00,Chattogram,Pre-Monsoon,12,37.25,60,0,760,4,1010.0,30,Seedling,5,5.93,1.95,0.99,15,Sunny,42.05,Water ON,Go Outside With Caution,Go to Field for Irrigation,50.4,4.88,3.17,58.45,৳
2026-04-14 13:00:00,Chattogram,Pre-Monsoon,13,37.42,60,0,734,5,1010.0,29,Seedling,5,5.94,1.95,1.03,15,Sunny,42.22,Water ON,Go Outside With Caution,Go to Field for Irrigation,50.49,4.88,3.3,58.67,৳
2026-04-14 14:00:00,Chattogram,Pre-Monsoon,14,37.25,60,0,658,5,1010.0,30,Seedling,5,5.83,1.95,1.05,13,Sunny,42.05,Water ON,Go Outside With Caution,Go to Field for Irrigation,49.56,4.88,3.36,57.8,৳
2026-04-14 15:00:00,Chattogram,Pre-Monsoon,15,36.75,60,0,537,5,1010.0,30,Seedling,5,5.59,1.95,1.06,11,Sunny,41.55,Water ON,Go Outside With Caution,Go to Field for Irrigation,47.52,4.88,3.39,55.79,৳
2026-04-14 16:00:00,Chattogram,Pre-Monsoon,16,35.95,61,0,380,5,1010.0,31,Seedling,5,5.24,1.95,1.05,8,Clear,40.83,Water ON,Safe to Go Outside,Go to Field for Irrigation,44.54,4.88,3.36,52.78,৳
2026-04-14 17:00:00,Chattogram,Pre-Monsoon,17,34.92,62,0,197,5,1010.0,32,Seedling,4,4.7,1.67,1.03,4,Clear,39.88,Water ON,Safe to Go Outside,Go to Field for Irrigation,39.95,4.18,3.3,47.43,৳
2026-04-14 18:00:00,Chattogram,Pre-Monsoon,18,33.71,77,9,0,6,1001.9,50,Seedling,0,2.74,0.55,0.99,1,Heavy Rain,39.87,Water OFF,Do Not Go Outside,Delay Field Visit,23.29,1.38,3.17,27.84,৳
2026-04-14 19:00:00,Chattogram,Pre-Monsoon,19,32.42,75,7,0,5,1003.7,48,Seedling,1,2.72,0.83,0.94,1,Light Rain,38.42,Water OFF,Go Outside With Caution,Routine Check Optional,23.12,2.07,3.01,28.2,৳
2026-04-14 20:00:00,Chattogram,Pre-Monsoon,20,31.12,72,5,0,4,1005.5,45,Seedling,2,2.68,1.11,0.88,1,Light Rain,36.88,Water OFF,Go Outside With Caution,Routine Check Optional,22.78,2.78,2.82,28.38,৳
2026-04-14 21:00:00,Chattogram,Pre-Monsoon,21,29.92,70,3,0,3,1007.3,41,Seedling,2,2.84,1.11,0.82,0,Light Rain,35.52,Water OFF,Go Outside With Caution,Routine Check Optional,24.14,2.78,2.62,29.54,৳
2026-04-14 22:00:00,Chattogram,Pre-Monsoon,22,28.88,66,0,0,3,1010.0,36,Seedling,4,3.22,1.67,0.88,0,Clear,34.16,Water ON,Safe to Go Outside,Go to Field for Irrigation,27.37,4.18,2.82,34.37,৳
2026-04-14 23:00:00,Chattogram,Pre-Monsoon,23,28.09,66,0,0,4,1010.0,36,Seedling,4,3.34,1.67,0.94,1,Clear,33.37,Water ON,Safe to Go Outside,Go to Field for Irrigation,28.39,4.18,3.01,35.58,৳
2026-04-15 00:00:00,Sylhet,Pre-Monsoon,0,26.97,67,0,0,4,1010.28,36,Seedling,4,3.3,1.67,0.99,1,Clear,32.33,Water ON,Safe to Go Outside,Go to Field for Irrigation,28.05,4.18,3.17,35.4,৳
2026-04-15 01:00:00,Sylhet,Pre-Monsoon,1,26.8,67,0,0,5,1010.28,36,Seedling,4,3.36,1.67,1.03,1,Clear,32.16,Water ON,Safe to Go Outside,Go to Field for Irrigation,28.56,4.18,3.3,36.04,৳
2026-04-15 02:00:00,Sylhet,Pre-Monsoon,2,26.97,67,0,0,5,1010.28,36,Seedling,4,3.38,1.67,1.05,1,Clear,32.33,Water ON,Safe to Go Outside,Go to Field for Irrigation,28.73,4.18,3.36,36.27,৳
2026-04-15 03:00:00,Sylhet,Pre-Monsoon,3,27.47,67,0,0,5,1010.28,36,Seedling,4,3.36,1.67,1.06,1,Clear,32.83,Water ON,Safe to Go Outside,Go to Field for Irrigation,28.56,4.18,3.39,36.13,৳
2026-04-15 04:00:00,Sylhet,Pre-Monsoon,4,28.26,66,0,0,5,1010.28,36,Seedling,4,3.3,1.67,1.05,1,Clear,33.54,Water ON,Safe to Go Outside,Go to Field for Irrigation,28.05,4.18,3.36,35.59,৳
2026-04-15 05:00:00,Sylhet,Pre-Monsoon,5,29.3,65,0,0,5,1010.28,36,Seedling,4,3.2,1.67,1.03,1,Clear,34.5,Water ON,Safe to Go Outside,Go to Field for Irrigation,27.2,4.18,3.3,34.68,৳
2026-04-15 06:00:00,Sylhet,Pre-Monsoon,6,30.51,65,0,0,4,1010.28,36,Seedling,4,3.08,1.67,0.99,1,Clear,35.71,Water ON,Safe to Go Outside,Go to Field for Irrigation,26.18,4.18,3.17,33.53,৳
2026-04-15 07:00:00,Sylhet,Pre-Monsoon,7,31.8,64,0,197,4,1010.28,36,Seedling,4,3.29,1.67,0.94,4,Clear,36.92,Water ON,Safe to Go Outside,Go to Field for Irrigation,27.96,4.18,3.01,35.15,৳
2026-04-15 08:00:00,Sylhet,Pre-Monsoon,8,33.09,63,0,380,3,1010.28,35,Seedling,4,3.46,1.67,0.88,8,Clear,38.13,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.41,4.18,2.82,36.41,৳
2026-04-15 09:00:00,Sylhet,Pre-Monsoon,9,34.3,62,0,537,3,1010.28,33,Seedling,4,3.9,1.67,0.82,11,Sunny,39.26,Water ON,Safe to Go Outside,Go to Field for Irrigation,33.15,4.18,2.62,39.95,৳
2026-04-15 10:00:00,Sylhet,Pre-Monsoon,10,35.33,61,0,658,3,1010.28,32,Seedling,5,5.38,1.95,0.88,13,Sunny,40.21,Water ON,Safe to Go Outside,Go to Field for Irrigation,45.73,4.88,2.82,53.43,৳
2026-04-15 11:00:00,Sylhet,Pre-Monsoon,11,36.13,61,0,734,4,1010.28,31,Seedling,5,5.65,1.95,0.94,15,Sunny,41.01,Water ON,Go Outside With Caution,Go to Field for Irrigation,48.03,4.88,3.01,55.92,৳
2026-04-15 12:00:00,Sylhet,Pre-Monsoon,12,36.63,60,0,760,4,1010.28,30,Seedling,5,5.79,1.95,0.99,15,Sunny,41.43,Water ON,Go Outside With Caution,Go to Field for Irrigation,49.22,4.88,3.17,57.27,৳
2026-04-15 13:00:00,Sylhet,Pre-Monsoon,13,36.8,71,7,392,6,1003.98,43,Seedling,2,4.83,1.11,1.03,8,Light Rain,42.48,Water OFF,Go Outside With Caution,Routine Check Optional,41.06,2.78,3.3,47.14,৳
2026-04-15 14:00:00,Sylhet,Pre-Monsoon,14,36.63,75,9,263,6,1002.18,46,Seedling,1,4.49,0.83,1.05,6,Heavy Rain,42.63,Water OFF,Do Not Go Outside,Delay Field Visit,38.16,2.07,3.36,43.59,৳
2026-04-15 15:00:00,Sylhet,Pre-Monsoon,15,36.13,77,10,179,7,1001.28,49,Seedling,1,4.32,0.83,1.06,4,Heavy Rain,42.29,Water OFF,Do Not Go Outside,Delay Field Visit,36.72,2.07,3.39,42.18,৳
2026-04-15 16:00:00,Sylhet,Pre-Monsoon,16,35.33,77,10,127,7,1001.28,50,Seedling,1,4.17,0.83,1.05,3,Heavy Rain,41.49,Water OFF,Do Not Go Outside,Delay Field Visit,35.44,2.07,3.36,40.87,৳
2026-04-15 17:00:00,Sylhet,Pre-Monsoon,17,34.3,62,0,197,5,1010.28,33,Seedling,4,3.56,1.67,1.03,4,Clear,39.26,Water ON,Safe to Go Outside,Go to Field for Irrigation,30.26,4.18,3.3,37.74,৳
2026-04-15 18:00:00,Sylhet,Pre-Monsoon,18,33.09,63,0,0,4,1010.28,35,Seedling,4,3.08,1.67,0.99,1,Clear,38.13,Water ON,Safe to Go Outside,Go to Field for Irrigation,26.18,4.18,3.17,33.53,৳
2026-04-15 19:00:00,Sylhet,Pre-Monsoon,19,31.8,64,0,0,4,1010.28,36,Seedling,4,2.94,1.67,0.94,1,Clear,36.92,Water ON,Safe to Go Outside,Go to Field for Irrigation,24.99,4.18,3.01,32.18,৳
2026-04-15 20:00:00,Sylhet,Pre-Monsoon,20,30.51,65,0,0,3,1010.28,36,Seedling,4,2.78,1.67,0.88,0,Clear,35.71,Water ON,Safe to Go Outside,Go to Field for Irrigation,23.63,4.18,2.82,30.63,৳
2026-04-15 21:00:00,Sylhet,Pre-Monsoon,21,29.3,65,0,0,3,1010.28,36,Seedling,4,2.94,1.67,0.82,0,Clear,34.5,Water ON,Safe to Go Outside,Go to Field for Irrigation,24.99,4.18,2.62,31.79,৳
2026-04-15 22:00:00,Sylhet,Pre-Monsoon,22,28.26,66,0,0,3,1010.28,36,Seedling,4,3.08,1.67,0.88,0,Clear,33.54,Water ON,Safe to Go Outside,Go to Field for Irrigation,26.18,4.18,2.82,33.18,৳
2026-04-15 23:00:00,Sylhet,Pre-Monsoon,23,27.47,67,0,0,4,1010.28,36,Seedling,4,3.2,1.67,0.94,1,Clear,32.83,Water ON,Safe to Go Outside,Go to Field for Irrigation,27.2,4.18,3.01,34.39,৳
2026-04-16 00:00:00,Rangpur,Pre-Monsoon,0,25.97,68,0,0,4,1010.49,36,Vegetative,4,3.44,1.67,0.99,1,Clear,31.41,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.24,4.18,3.17,36.59,৳
2026-04-16 01:00:00,Rangpur,Pre-Monsoon,1,25.8,68,0,0,5,1010.49,36,Vegetative,4,3.5,1.67,1.03,1,Clear,31.24,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.75,4.18,3.3,37.23,৳
2026-04-16 02:00:00,Rangpur,Pre-Monsoon,2,25.97,68,0,0,5,1010.49,36,Vegetative,4,3.52,1.67,1.05,1,Clear,31.41,Water ON,Safe to Go Outside,Go to Field for Irrigation,29.92,4.18,3.36,37.46,৳
